ISSUE_KEY,RESOLUTION,PRODUCT,SEVERITY,UPDATED_TIMESTAMP,PLATFORM,RESOLVED_TIMESTAMP,GROUP_NAMES_SEPARATED,CREATED_TIMESTAMP,COE_NAMES_SEPARATED_COPY,EUI_OR_SIB,RESOLUTION_TIME,HOUR_TO_COMPLETION,CASE WHEN HOUR_TO_COMPLETION IS NOT NULL AND HOUR_TO_COMPLETION <= RESOLUTION_TIME THEN TRUE ELSE FALSE END
BLMV-4702,Fixed,,P4,Mar-21,Web,Nov-20,CR - Record Consumption,Oct-20,Construction Records,,,984,FALSE
SCCOM-5956,Fixed,Locations,,Mar-21,,Nov-20,CS - Common Services,Aug-20,Common Services,,,2544,FALSE
INSIGHT-2742,Done,,P4,Mar-21,Web,Nov-20,CS - Data Delivery,Oct-20,Enterprise,,,864,FALSE
ALEX-38149,By Design,,P4,Mar-21,Web,Nov-20,CR - Docs Core,Aug-20,Construction Records,,,1584,FALSE
ACSD-4064,Done,Document Management,,Mar-21,Web,Nov-20,CR - Docs Core,Aug-20,Construction Records,,,2568,FALSE
BLMV-4701,Duplicate,,P4,Mar-21,Web,Nov-20,CR - Record Consumption,Sep-20,Construction Records,,,960,FALSE
ALEX-38910,Duplicate,,P4,Mar-21,Web,Nov-20,CR - Docs Core,Nov-20,Construction Records,,,264,FALSE
CS-42906,Fixed,,P4,Mar-21,Web,Nov-20,WBP - Classic Products,Oct-20,Work Breakdown & Planning,,,1104,FALSE
SVN-907,Fixed,,P3,Mar-21,Backend,Nov-20,FC - Field Progress,Feb-20,Field Collaboration,,360,6912,FALSE
FORMS-6859,Fixed,,P2,Mar-21,iOS,Nov-20,FC - Field Forms,Nov-20,Field Collaboration,,72,48,TRUE
BUIS-24,Done,Issues,,Mar-21,"Web,    iOS,Android,Windows,Backend",Nov-20,FC - Field Progress,Jul-20,Field Collaboration,,,3216,FALSE
PGDOCS-899,Done,,P4,Mar-21,,Nov-20,CR - Docs Core,Nov-20,Construction Records,,,24,FALSE
ALEX-38888,Duplicate,,P4,Mar-21,Web,Nov-20,CR - Docs Core,Nov-20,Construction Records,,,96,FALSE
ALEX-38838,Duplicate,BIM 360 Docs,P4,Mar-21,Web,Nov-20,CR - Docs Core,Nov-20,Construction Records,,,48,FALSE
PT-480,Done,Progress Tracking,,Mar-21,,Nov-20,FC - Field Progress,Aug-20,Field Collaboration,,,1944,FALSE
BIMR-5526,Done,,P4,Mar-21,Web,Nov-20,CS - Data Delivery,Oct-20,Enterprise,,,288,FALSE
CS-41312,Fixed,,P4,Mar-21,Web,Nov-20,WBP - Classic Products,Sep-20,Work Breakdown & Planning,,,1512,FALSE
NGF-1717,By Design,Reporting,P4,Mar-21,Web,Nov-20,FC - Field Forms,Sep-20,Field Collaboration,,,1248,FALSE
ALEX-37091,Done,BIM 360 Docs,,Mar-21,Web,Nov-20,CR - Docs Core,Oct-19,Construction Records,,,9600,FALSE
SCCOM-6923,Fixed,,P4,Mar-21,Web,Nov-20,CS - Common Services,Oct-20,Common Services,,,432,FALSE
KRAANG-4285,Resolved,,P4,Mar-21,Web,Nov-20,CR - Docs Core,Aug-20,Construction Records,,,2184,FALSE
PGAND-6145,Fixed,,P2,Mar-21,Android,Nov-20,FR - Frameworks,Dec-19,Frameworks,,72,5928,FALSE
INSIGHT-2298,Done,,P4,Mar-21,Web,Nov-20,CS - Data Delivery,Jul-20,Enterprise,,,2952,FALSE
SCMP-1928,Won't Fix,,P4,Mar-21,Android,Nov-20,FR - Frameworks,Nov-20,Frameworks,,,72,FALSE
UL-3190,By Design,,P4,Mar-21,Web,Nov-20,LM - User Lifecycle,Sep-20,Lifecycle,,,1344,FALSE
CS-41791,Fixed,,P4,Mar-21,Web,Nov-20,WBP - Classic Products,Oct-20,Work Breakdown & Planning,,,1272,FALSE
ALEX-38906,Duplicate,,P4,Mar-21,Web,Nov-20,CR - Docs Core,Nov-20,Construction Records,,,72,FALSE
ALEX-38779,Fixed,,P4,Mar-21,,Nov-20,CR - Docs Core,Oct-20,Construction Records,,,144,FALSE
NGF-1297,Fixed,NGF Forms,P2,Mar-21,iOS,Nov-20,FC - Field Forms,Aug-20,Field Collaboration,,72,1872,FALSE
CS-43747,Fixed,,P4,Mar-21,Web,Nov-20,WBP - Classic Products,Nov-20,Work Breakdown & Planning,,,336,FALSE
CS-43402,Fixed,,P4,Mar-21,Web,Nov-20,WBP - Classic Products,Oct-20,Work Breakdown & Planning,,,648,FALSE
INSIGHT-2385,Done,,,Mar-21,,Nov-20,CS - Data Delivery,Jul-20,Enterprise,,,2712,FALSE
SCPJM-8228,Done,,P4,Mar-21,Web,Nov-20,PC - Project Management,Nov-20,Project Controls,,,288,FALSE
SCCOM-7010,Deferred,,P4,Mar-21,Web,Nov-20,CS - Common Services,Nov-20,Common Services,,,480,FALSE
FORMS-6873,Duplicate,,P4,Mar-21,iOS,Nov-20,FC - Field Forms,Nov-20,Field Collaboration,,,0,FALSE
ALEX-38564,Fixed,BIM 360 Docs,P4,Mar-21,Web,Nov-20,CR - Docs Core,Oct-20,Construction Records,,,696,FALSE
NGF-1530,Fixed,Checklists,P4,Mar-21,Web,Nov-20,FC - Field Forms,Sep-20,Field Collaboration,,,1536,FALSE
BUIS-340,Done,Issues,,Mar-21,"Web,Backend",Nov-20,FC - Field Progress,Aug-20,Field Collaboration,,,2112,FALSE
CS-41764,Fixed,,P4,Mar-21,Web,Nov-20,WBP - Classic Products,Oct-20,Work Breakdown & Planning,,,768,FALSE
SVN-1300,By Design,,P3,Mar-21,Web,Nov-20,FC - Field Progress,Apr-20,Field Collaboration,,360,4464,FALSE
ALEX-38972,By Design,BIM 360 Docs,P4,Mar-21,Web,Nov-20,CR - Docs Core,Nov-20,Construction Records,,,264,FALSE
SCCOM-6584,Won't Fix,Issues,P4,Mar-21,Web,Nov-20,CS - Common Services,Sep-20,Common Services,,,1104,FALSE
SCCOM-6909,Duplicate,,P4,Mar-21,Web,Nov-20,CS - Common Services,Oct-20,Common Services,,,240,FALSE
ALEX-37771,Done,BIM 360 Docs,,Mar-21,Web,Nov-20,CR - Docs Core,Aug-20,Construction Records,,,2808,FALSE
ALEX-38839,Fixed,,P4,Mar-21,,Nov-20,CR - Docs Core,Nov-20,Construction Records,,,480,FALSE
SCPJM-7896,Done,RFIs,P4,Mar-21,Web,Nov-20,PC - Project Management,Oct-20,Project Controls,,,312,FALSE
ALEX-38889,External Dependency,,P4,Mar-21,Web,Nov-20,CR - Docs Core,Nov-20,Construction Records,,,120,FALSE
MBIM-11626,Done,Issues,P3,Mar-21,Android,Nov-20,CR - Record Consumption,Oct-20,Construction Records,,360,816,FALSE
MBIM-11506,Done,,P4,Mar-21,iOS,Nov-20,CR - Record Consumption,Sep-20,Construction Records,,,1416,FALSE
SCCOM-6493,Duplicate,,P4,Mar-21,Web,Nov-20,CS - Common Services,Sep-20,Common Services,,,1176,FALSE
INSIGHT-823,Done,,,Mar-21,,Nov-20,CS - Data Delivery,Jan-20,Enterprise,,,6936,FALSE
NW-55964,NONE,,,Mar-21,,Nov-20,B4C - Coordinate,Jul-20,BIM for Construction,,,3288,FALSE
FORMS-6199,Done,Forms,,Mar-21,"Web,    iOS,Android,Windows",Nov-20,FC - Field Forms,Aug-20,Field Collaboration,,,1920,FALSE
CS-41763,Fixed,,P4,Mar-21,iOS,Nov-20,WBP - Classic Products,Sep-20,Work Breakdown & Planning,,,912,FALSE
CS-42869,Fixed,,P4,Mar-21,Web,Nov-20,WBP - Classic Products,Oct-20,Work Breakdown & Planning,,,984,FALSE
BIMR-5509,Done,,P4,Mar-21,Web,Nov-20,CS - Data Delivery,Aug-20,Enterprise,,,1968,FALSE
AUTOPLAT-1215,Done,,,Mar-21,,Nov-20,QA & Test Automation,Aug-20,Frameworks,,,1992,FALSE
UL-2463,Won't Fix,,P3,Mar-21,Web,Nov-20,LM - User Lifecycle,Feb-20,Lifecycle,,360,6768,FALSE
ACSADMIN-999,Not a Bug,Team Page,P4,Mar-21,Web,Nov-20,,Nov-20,,,,48,FALSE
INSIGHT-821,Duplicate,,,Mar-21,,Nov-20,CS - Data Delivery,Jan-20,Enterprise,,,6936,FALSE
AUTOPLAT-1022,Done,,,Mar-21,,Nov-20,QA & Test Automation,Apr-20,Frameworks,,,4944,FALSE
SCPJM-5298,Done,,P4,Mar-21,iOS,Nov-20,PC - Project Management,Jun-20,Project Controls,,,3096,FALSE
CS-41789,Fixed,BIM 360 Field Classic,P4,Mar-21,Web,Nov-20,WBP - Classic Products,Oct-20,Work Breakdown & Planning,,,1320,FALSE
NGF-1268,Incidentally Fixed,NGF Forms,P3,Apr-21,Android,Nov-20,FC - Field Forms,Jul-20,Field Collaboration,,360,2328,FALSE
ALEX-37861,Fixed,,P3,Apr-21,,Nov-20,CR - Docs Core,Aug-20,Construction Records,,360,2424,FALSE
